Date,Timestamp,Viewer Count
2023-05-01,22:06:34,582
2023-05-01,22:08:34,582
2023-05-01,22:10:34,4269
2023-05-01,22:12:35,4269
2023-05-01,22:14:35,4269
2023-05-01,22:16:35,7109
2023-05-01,22:18:36,7109
2023-05-01,22:20:36,9231
2023-05-01,22:22:36,9231
2023-05-01,22:24:36,10393
2023-05-01,22:26:37,10393
2023-05-01,22:28:37,11113
2023-05-01,22:30:37,11113
2023-05-01,22:32:38,13230
2023-05-01,22:34:35,13230
2023-05-01,22:36:35,12886
2023-05-01,22:38:36,12886
2023-05-01,22:40:36,12652
2023-05-01,22:42:36,12652
2023-05-01,22:44:37,13192
2023-05-01,22:46:37,13739
2023-05-01,22:48:37,13739
2023-05-01,22:50:38,13918
2023-05-01,22:52:38,13918
2023-05-01,22:54:39,13918
2023-05-01,22:56:39,13918
2023-05-01,22:58:40,13918
2023-05-01,23:00:40,13601
2023-05-01,23:02:40,14231
2023-05-01,23:04:41,14231
2023-05-01,23:06:41,14231
2023-05-01,23:08:42,14053
2023-05-01,23:10:42,14053
2023-05-01,23:12:42,14053
2023-05-01,23:14:43,14578
2023-05-01,23:16:43,14421
2023-05-01,23:18:43,14421
2023-05-01,23:20:43,14270
2023-05-01,23:22:44,14270
2023-05-01,23:24:45,14909
2023-05-01,23:26:45,14909
2023-05-01,23:28:45,14360
2023-05-01,23:30:45,14360
2023-05-01,23:32:46,14360
2023-05-01,23:34:46,14360
2023-05-01,23:36:46,14176
2023-05-01,23:38:47,14176
2023-05-01,23:40:51,14425
2023-05-01,23:42:51,14425
2023-05-01,23:44:52,14276
2023-05-01,23:46:52,14276
2023-05-01,23:48:52,14276
2023-05-01,23:50:53,14276
2023-05-01,23:52:53,15487
2023-05-01,23:54:54,15487
2023-05-01,23:56:54,13740
2023-05-01,23:58:54,13945
2023-05-02,00:00:55,13945
2023-05-02,00:02:55,13804
2023-05-02,00:04:55,14273
2023-05-02,00:06:55,14273
2023-05-02,00:08:56,14273
2023-05-02,00:10:56,14633
2023-05-02,00:12:57,14633
2023-05-02,00:14:57,14982
2023-05-02,00:16:57,14982
2023-05-02,00:18:58,14982
2023-05-02,00:20:58,14802
2023-05-02,00:22:58,14802
2023-05-02,00:24:58,14802
2023-05-02,00:26:59,15102
2023-05-02,00:28:59,15102
2023-05-02,00:30:59,14746
2023-05-02,00:33:00,14746
2023-05-02,00:35:00,14746
2023-05-02,00:37:00,14929
2023-05-02,00:39:00,14929
2023-05-02,00:41:01,14929
2023-05-02,00:43:01,14758
2023-05-02,00:45:01,14758
2023-05-02,00:47:02,14923
2023-05-02,00:49:02,14923
2023-05-02,00:51:02,14656
2023-05-02,00:53:02,14656
2023-05-02,00:55:03,14656
2023-05-02,00:57:03,14822
2023-05-02,00:59:03,15060
2023-05-02,01:01:04,15060
2023-05-02,01:03:04,14747
2023-05-02,01:05:04,14156
2023-05-02,01:07:05,14156
2023-05-02,01:09:05,14477
2023-05-02,01:11:05,14477
2023-05-02,01:13:06,14477
2023-05-02,01:15:06,14308
2023-05-02,01:17:06,14308
2023-05-02,01:19:06,15033
2023-05-02,01:21:07,15033
