Date,Timestamp,Viewer Count
2023-03-18,23:08:06,4936
2023-03-18,23:10:06,6983
2023-03-18,23:12:07,7315
2023-03-18,23:14:07,7315
2023-03-18,23:16:07,8222
2023-03-18,23:18:08,8222
2023-03-18,23:20:08,8589
2023-03-18,23:22:08,8589
2023-03-18,23:24:09,9453
2023-03-18,23:26:09,9453
2023-03-18,23:28:09,9655
2023-03-18,23:30:10,9655
2023-03-18,23:32:10,10754
2023-03-18,23:34:10,10754
2023-03-18,23:36:10,11339
2023-03-18,23:38:11,11339
2023-03-18,23:40:11,11513
2023-03-18,23:42:11,11513
2023-03-18,23:44:12,11365
2023-03-18,23:46:12,11365
2023-03-18,23:48:12,11365
2023-03-18,23:50:12,11480
2023-03-18,23:52:13,11480
2023-03-18,23:54:13,11852
2023-03-18,23:56:14,11852
2023-03-18,23:58:14,11253
2023-03-19,00:00:14,11253
2023-03-19,00:02:15,11397
2023-03-19,00:04:15,11397
2023-03-19,00:06:15,12372
2023-03-19,00:08:16,12372
2023-03-19,00:10:16,12695
2023-03-19,00:12:16,12695
2023-03-19,00:14:17,12695
2023-03-19,00:16:17,12376
2023-03-19,00:18:18,12376
2023-03-19,00:20:18,12376
2023-03-19,00:22:18,12110
2023-03-19,00:24:19,12110
2023-03-19,00:26:19,12277
2023-03-19,00:28:19,12277
2023-03-19,00:30:19,11789
2023-03-19,00:32:20,12222
2023-03-19,00:34:20,12222
2023-03-19,00:36:20,12222
2023-03-19,00:38:21,12411
2023-03-19,00:40:21,12411
2023-03-19,00:42:21,12411
2023-03-19,00:44:22,12411
2023-03-19,00:46:22,12411
2023-03-19,00:48:22,12235
2023-03-19,00:50:23,12235
2023-03-19,00:52:23,12458
2023-03-19,00:54:23,12458
2023-03-19,00:56:23,12458
2023-03-19,00:58:24,12184
2023-03-19,01:00:24,12184
2023-03-19,01:02:24,12348
2023-03-19,01:04:25,12348
2023-03-19,01:06:25,12612
2023-03-19,01:08:25,12612
2023-03-19,01:10:25,12392
2023-03-19,01:12:26,12392
2023-03-19,01:14:26,12392
2023-03-19,01:16:26,12528
2023-03-19,01:18:26,12528
2023-03-19,01:20:27,12528
2023-03-19,01:22:27,12768
2023-03-19,01:24:27,12768
2023-03-19,01:26:28,12083
2023-03-19,01:28:28,12083
2023-03-19,01:30:28,11921
2023-03-19,01:32:29,11921
2023-03-19,01:34:29,11921
2023-03-19,01:36:29,11775
2023-03-19,01:38:30,11775
2023-03-19,01:40:30,11447
2023-03-19,01:42:30,11447
2023-03-19,01:44:31,11447
2023-03-19,01:46:31,11327
2023-03-19,01:48:31,11327
2023-03-19,01:50:32,11327
2023-03-19,01:52:32,11210
2023-03-19,01:54:32,11210
2023-03-19,01:56:32,11078
2023-03-19,01:58:33,11078
2023-03-19,02:00:34,11078
2023-03-19,02:02:34,11078
2023-03-19,02:04:34,11078
2023-03-19,02:06:35,10408
2023-03-19,02:08:35,10408
2023-03-19,02:10:35,10793
2023-03-19,02:12:36,10793
2023-03-19,02:14:36,10793
2023-03-19,02:16:36,10793
2023-03-19,02:18:37,10976
2023-03-19,02:20:37,10976
2023-03-19,02:22:37,10976
2023-03-19,02:24:38,11091
2023-03-19,02:26:38,10761
2023-03-19,02:28:38,10761
2023-03-19,02:30:38,10761
2023-03-19,02:32:39,10597
