Date,Timestamp,Viewer Count
2023-03-19,20:57:51,1245
2023-03-19,20:59:51,1245
2023-03-19,21:01:52,4767
2023-03-19,21:03:52,4767
2023-03-19,21:05:53,6085
2023-03-19,21:07:53,7981
2023-03-19,21:09:51,7981
2023-03-19,21:11:52,9123
2023-03-19,21:13:52,9123
2023-03-19,21:15:52,10749
2023-03-19,21:17:53,10749
2023-03-19,21:19:53,11193
2023-03-19,21:21:54,11193
2023-03-19,21:23:54,12683
2023-03-19,21:25:55,12683
2023-03-19,21:27:55,12683
2023-03-19,21:29:56,12821
2023-03-19,21:31:56,12821
2023-03-19,21:33:57,14054
2023-03-19,21:35:58,13376
2023-03-19,21:37:58,13376
2023-03-19,21:39:58,13611
2023-03-19,21:41:59,14089
2023-03-19,21:44:00,14089
2023-03-19,21:46:00,15350
2023-03-19,21:48:01,15350
2023-03-19,21:50:02,15350
2023-03-19,21:52:03,15100
2023-03-19,21:54:03,15569
2023-03-19,21:56:03,15569
2023-03-19,21:58:04,15569
2023-03-19,22:00:04,15991
2023-03-19,22:02:05,15790
2023-03-19,22:04:05,15790
2023-03-19,22:06:06,15790
2023-03-19,22:08:06,16372
2023-03-19,22:10:07,15989
2023-03-19,22:12:08,15989
2023-03-19,22:14:08,17078
2023-03-19,22:16:09,16888
2023-03-19,22:18:09,16888
2023-03-19,22:20:09,17072
2023-03-19,22:22:10,17072
2023-03-19,22:24:10,17243
2023-03-19,22:26:10,17243
2023-03-19,22:28:11,17243
2023-03-19,22:30:11,17243
2023-03-19,22:32:12,17616
2023-03-19,22:34:12,17616
2023-03-19,22:36:13,16993
2023-03-19,22:38:13,16993
2023-03-19,22:40:14,16317
2023-03-19,22:42:15,16317
2023-03-19,22:44:16,17091
2023-03-19,22:46:17,17091
2023-03-19,22:48:17,17091
2023-03-19,22:50:18,17091
2023-03-19,22:52:19,17091
2023-03-19,22:54:20,17091
2023-03-19,22:56:21,17091
2023-03-19,22:58:21,17091
2023-03-19,23:00:22,17459
2023-03-19,23:02:23,17459
2023-03-19,23:04:24,17636
2023-03-19,23:06:24,17636
2023-03-19,23:08:26,17636
2023-03-19,23:10:26,17636
2023-03-19,23:12:26,17636
2023-03-19,23:14:27,17636
2023-03-19,23:16:27,17636
2023-03-19,23:18:28,17181
2023-03-19,23:20:29,17181
2023-03-19,23:22:29,17455
2023-03-19,23:24:30,17455
2023-03-19,23:26:31,17840
2023-03-19,23:28:32,17840
2023-03-19,23:30:32,17575
2023-03-19,23:32:33,17575
2023-03-19,23:34:33,17575
2023-03-19,23:36:34,17156
2023-03-19,23:38:35,17156
2023-03-19,23:40:36,17436
2023-03-19,23:42:37,17672
2023-03-19,23:44:37,17672
2023-03-19,23:46:38,17672
2023-03-19,23:48:39,17672
2023-03-19,23:50:40,17672
2023-03-19,23:52:41,17672
2023-03-19,23:54:41,17672
2023-03-19,23:56:42,17672
2023-03-19,23:58:43,17319
2023-03-20,00:00:44,17319
2023-03-20,00:02:45,17319
2023-03-20,00:04:46,17598
2023-03-20,00:06:46,17778
2023-03-20,00:08:46,17778
2023-03-20,00:10:47,17778
2023-03-20,00:12:47,18034
2023-03-20,00:14:47,18034
2023-03-20,00:16:48,18034
2023-03-20,00:18:48,18034
2023-03-20,00:20:48,18328
2023-03-20,00:22:49,18328
2023-03-20,00:24:49,18770
2023-03-20,00:26:49,18770
2023-03-20,00:28:50,18179
2023-03-20,00:30:50,18179
2023-03-20,00:32:50,18179
2023-03-20,00:34:51,17326
2023-03-20,00:36:51,17326
2023-03-20,00:38:52,15139
2023-03-20,00:40:52,15139
2023-03-20,00:42:52,15139
2023-03-20,00:44:53,15139
2023-03-20,00:46:53,14920
2023-03-20,00:48:54,14675
2023-03-20,00:50:54,14675
2023-03-20,00:52:55,14675
2023-03-20,00:54:55,14446
2023-03-20,00:56:56,14446
2023-03-20,00:58:56,14111
2023-03-20,01:00:57,14111
2023-03-20,01:02:58,13834
2023-03-20,01:04:58,13834
2023-03-20,01:06:58,13834
2023-03-20,01:08:59,12929
2023-03-20,01:10:59,12929
2023-03-20,01:12:59,13476
2023-03-20,01:15:00,13476
2023-03-20,01:17:00,13034
2023-03-20,01:19:01,13034
2023-03-20,01:21:01,13324
2023-03-20,01:23:02,13324
2023-03-20,01:25:02,13004
2023-03-20,01:27:03,13004
2023-03-20,01:29:03,12678
2023-03-20,01:31:04,12678
2023-03-20,01:33:04,12842
2023-03-20,01:35:04,12842
2023-03-20,01:37:05,12573
2023-03-20,01:39:05,12573
2023-03-20,01:41:05,12428
2023-03-20,01:43:06,12428
2023-03-20,01:45:06,12036
2023-03-20,01:47:06,12036
2023-03-20,01:49:07,11846
2023-03-20,01:51:07,11846
2023-03-20,01:53:08,12095
2023-03-20,01:55:08,12095
2023-03-20,01:57:09,11807
2023-03-20,01:59:09,11593
2023-03-20,02:01:10,11593
2023-03-20,02:03:10,11593
2023-03-20,02:05:11,11752
2023-03-20,02:07:11,11752
2023-03-20,02:09:12,11752
2023-03-20,02:11:12,11296
2023-03-20,02:13:12,11296
2023-03-20,02:15:13,11444
2023-03-20,02:17:13,11444
2023-03-20,02:19:13,11323
2023-03-20,02:21:14,11323
2023-03-20,02:23:14,11547
2023-03-20,02:25:14,11547
2023-03-20,02:27:15,11300
2023-03-20,02:29:15,11300
2023-03-20,02:31:15,11177
2023-03-20,02:33:16,11177
2023-03-20,02:35:16,10815
2023-03-20,02:37:16,10815
2023-03-20,02:39:17,10815
2023-03-20,02:41:17,10653
2023-03-20,02:43:17,10653
2023-03-20,02:45:18,10653
2023-03-20,02:47:18,10764
2023-03-20,02:49:18,10764
2023-03-20,02:51:19,10764
