Date,Timestamp,Viewer Count
2023-03-21,22:20:13,619
2023-03-21,22:22:13,4328
2023-03-21,22:24:14,4328
2023-03-21,22:26:14,6687
2023-03-21,22:28:15,6687
2023-03-21,22:30:15,8073
2023-03-21,22:32:15,8073
2023-03-21,22:34:16,9335
2023-03-21,22:36:16,9491
2023-03-21,22:38:17,9491
2023-03-21,22:40:17,9491
2023-03-21,22:42:18,10447
2023-03-21,22:44:18,10447
2023-03-21,22:46:19,10865
2023-03-21,22:48:19,11363
2023-03-21,22:50:19,11363
2023-03-21,22:52:20,11363
2023-03-21,22:54:20,12341
2023-03-21,22:56:21,12341
2023-03-21,22:58:21,12760
2023-03-21,23:00:22,12760
2023-03-21,23:02:22,13213
2023-03-21,23:04:23,13213
2023-03-21,23:06:23,13213
2023-03-21,23:08:23,13414
2023-03-21,23:10:24,14116
2023-03-21,23:12:24,14116
2023-03-21,23:14:24,13952
2023-03-21,23:16:25,15126
2023-03-21,23:18:25,15126
2023-03-21,23:20:25,15126
2023-03-21,23:22:26,14528
2023-03-21,23:24:26,15418
2023-03-21,23:26:27,15418
2023-03-21,23:28:28,15418
2023-03-21,23:30:28,15588
2023-03-21,23:32:28,15838
2023-03-21,23:34:29,15838
2023-03-21,23:36:29,15554
2023-03-21,23:38:30,15727
2023-03-21,23:40:30,15727
2023-03-21,23:42:30,16155
2023-03-21,23:44:31,16155
2023-03-21,23:46:31,16155
2023-03-21,23:48:32,16749
2023-03-21,23:50:32,16749
2023-03-21,23:52:32,15530
2023-03-21,23:54:33,15530
2023-03-21,23:56:33,15530
2023-03-21,23:58:34,15530
2023-03-22,00:00:34,15799
2023-03-22,00:02:35,15799
2023-03-22,00:04:35,15799
2023-03-22,00:06:35,15981
2023-03-22,00:08:36,15981
2023-03-22,00:10:36,15981
2023-03-22,00:12:37,16274
2023-03-22,00:14:37,16274
2023-03-22,00:16:37,16557
2023-03-22,00:18:38,16557
2023-03-22,00:20:38,16557
2023-03-22,00:22:39,16557
2023-03-22,00:24:39,16557
2023-03-22,00:26:40,16791
2023-03-22,00:28:41,16791
2023-03-22,00:30:42,16791
2023-03-22,00:32:42,14035
2023-03-22,00:34:43,14035
2023-03-22,00:36:43,13274
2023-03-22,00:38:44,13274
2023-03-22,00:40:44,12878
2023-03-22,00:42:44,12878
2023-03-22,00:44:45,12500
2023-03-22,00:46:45,12500
2023-03-22,00:48:46,12284
2023-03-22,00:50:46,12284
2023-03-22,00:52:46,12284
2023-03-22,00:54:47,12026
2023-03-22,00:56:47,11843
2023-03-22,00:58:48,11843
2023-03-22,01:00:49,11697
2023-03-22,01:02:49,11697
2023-03-22,01:04:49,11563
2023-03-22,01:06:50,11396
2023-03-22,01:08:50,11396
2023-03-22,01:10:50,11536
2023-03-22,01:12:51,11536
2023-03-22,01:14:51,11349
2023-03-22,01:16:51,11349
2023-03-22,01:18:52,11349
2023-03-22,01:20:52,11072
2023-03-22,01:22:53,11072
2023-03-22,01:24:53,11228
2023-03-22,01:26:54,11228
2023-03-22,01:28:54,10738
2023-03-22,01:30:54,10738
2023-03-22,01:32:55,10572
2023-03-22,01:34:55,10572
2023-03-22,01:36:56,10420
2023-03-22,01:38:56,10420
2023-03-22,01:40:57,10260
2023-03-22,01:42:57,10260
2023-03-22,01:44:57,10661
2023-03-22,01:46:58,10661
2023-03-22,01:48:58,10285
2023-03-22,01:50:59,10138
2023-03-22,01:53:00,10306
2023-03-22,01:55:00,10306
2023-03-22,01:57:01,9776
2023-03-22,01:59:02,9776
2023-03-22,02:01:02,9776
2023-03-22,02:03:02,9923
2023-03-22,02:05:03,9923
2023-03-22,02:07:03,9792
2023-03-22,02:09:03,9686
2023-03-22,02:11:04,9686
2023-03-22,02:13:04,9686
2023-03-22,02:15:04,9799
2023-03-22,02:17:05,9799
2023-03-22,02:19:05,9612
2023-03-22,02:21:05,9486
2023-03-22,02:23:06,9486
2023-03-22,02:25:06,9604
2023-03-22,02:27:07,9604
2023-03-22,02:29:07,9212
2023-03-22,02:31:07,9212
2023-03-22,02:33:08,9116
2023-03-22,02:35:08,9116
2023-03-22,02:37:08,10125
2023-03-22,02:39:09,9968
2023-03-22,02:41:09,9968
2023-03-22,02:43:09,9968
2023-03-22,02:45:10,9760
2023-03-22,02:47:10,9760
2023-03-22,02:49:10,9760
2023-03-22,02:51:10,9616
2023-03-22,02:53:11,9616
2023-03-22,02:55:11,9732
2023-03-22,02:57:11,9732
2023-03-22,02:59:12,9535
2023-03-22,03:01:12,9535
2023-03-22,03:03:12,9652
2023-03-22,03:05:12,9652
2023-03-22,03:07:13,9434
2023-03-22,03:09:13,9434
2023-03-22,03:11:13,9567
2023-03-22,03:13:14,9567
2023-03-22,03:15:14,9567
2023-03-22,03:17:14,9749
2023-03-22,03:19:14,9749
2023-03-22,03:21:15,9407
2023-03-22,03:23:15,9407
2023-03-22,03:25:15,9407
2023-03-22,03:27:16,9622
2023-03-22,03:29:16,9622
2023-03-22,03:31:16,9406
2023-03-22,03:33:16,9406
