Date,Timestamp,Viewer Count
2023-03-22,18:48:00,829
2023-03-22,18:50:01,829
2023-03-22,18:52:01,829
2023-03-22,18:54:02,3713
2023-03-22,18:56:02,5924
2023-03-22,18:58:02,5924
2023-03-22,19:00:03,5924
2023-03-22,19:02:03,7914
2023-03-22,19:04:03,9369
2023-03-22,19:06:04,9369
2023-03-22,19:08:04,9748
2023-03-22,19:10:04,9748
2023-03-22,19:12:05,10214
2023-03-22,19:14:06,10214
2023-03-22,19:16:06,10569
2023-03-22,19:18:06,10569
2023-03-22,19:20:07,11457
2023-03-22,19:22:07,11457
2023-03-22,19:24:08,11770
2023-03-22,19:26:08,11770
2023-03-22,19:28:09,12842
2023-03-22,19:30:09,12646
2023-03-22,19:32:10,12646
2023-03-22,19:34:10,12646
2023-03-22,19:36:11,12447
2023-03-22,19:38:12,12447
2023-03-22,19:40:12,12125
2023-03-22,19:42:13,12125
2023-03-22,19:44:13,12479
2023-03-22,19:46:14,12977
2023-03-22,19:48:14,12977
2023-03-22,19:50:15,13272
2023-03-22,19:52:15,13272
2023-03-22,19:54:15,13664
2023-03-22,19:56:16,13664
2023-03-22,19:58:16,14288
2023-03-22,20:00:17,14288
2023-03-22,20:02:17,14288
2023-03-22,20:04:17,14462
2023-03-22,20:06:18,14462
2023-03-22,20:08:18,14849
2023-03-22,20:10:19,14849
2023-03-22,20:12:20,15450
2023-03-22,20:14:21,15450
2023-03-22,20:16:21,15450
2023-03-22,20:18:22,16591
2023-03-22,20:20:22,16591
2023-03-22,20:22:23,15227
2023-03-22,20:24:23,15227
2023-03-22,20:26:23,12699
2023-03-22,20:28:24,12699
2023-03-22,20:30:24,11889
2023-03-22,20:32:25,11889
2023-03-22,20:34:26,11690
2023-03-22,20:36:26,11690
2023-03-22,20:38:26,11850
2023-03-22,20:40:27,11850
2023-03-22,20:42:27,12560
2023-03-22,20:44:27,12560
2023-03-22,20:46:28,12089
2023-03-22,20:48:28,12089
2023-03-22,20:50:29,11942
2023-03-22,20:52:30,11942
2023-03-22,20:54:31,12146
2023-03-22,20:56:31,12146
2023-03-22,20:58:32,12358
