Data,Timestamp,Viewer Count
2023-03-10,11:55:25,0
2023-03-10,11:57:25,2989
2023-03-10,11:59:25,2989
2023-03-10,12:01:25,4080
2023-03-10,12:03:25,4080
2023-03-10,12:05:26,4080
2023-03-10,12:07:26,6177
2023-03-10,12:09:26,6177
2023-03-10,12:11:26,6177
2023-03-10,12:13:26,6695
2023-03-10,12:15:26,7660
2023-03-10,12:17:27,7660
2023-03-10,12:19:27,8673
2023-03-10,12:21:27,8673
2023-03-10,12:23:27,9917
2023-03-10,12:25:27,10134
2023-03-10,12:27:27,10134
2023-03-10,12:29:28,10134
2023-03-10,12:31:28,11060
2023-03-10,12:33:28,10916
2023-03-10,12:35:28,10916
2023-03-10,12:37:28,10916
2023-03-10,12:39:28,10604
2023-03-10,12:41:29,10604
2023-03-10,12:43:29,11958
2023-03-10,12:45:29,12515
2023-03-10,12:47:29,12515
2023-03-10,12:49:29,12515
2023-03-10,12:51:29,13093
2023-03-10,12:53:30,13093
2023-03-10,12:55:30,12758
2023-03-10,12:57:30,12758
2023-03-10,12:59:30,13107
2023-03-10,13:01:30,13107
2023-03-10,13:03:30,13107
2023-03-10,13:05:30,11958
2023-03-10,13:07:31,11958
2023-03-10,13:09:31,12095
2023-03-10,13:11:31,12095
2023-03-10,13:13:31,12095
2023-03-10,13:15:31,12095
2023-03-10,13:17:31,11949
2023-03-10,13:19:32,11949
2023-03-10,13:21:32,10568
2023-03-10,13:23:32,10568
2023-03-10,13:25:32,10568
2023-03-10,13:27:32,10888
2023-03-10,13:29:32,10888
2023-03-10,13:31:33,11433
2023-03-10,13:33:33,11433
2023-03-10,13:35:33,11433
2023-03-10,13:37:33,11305
2023-03-10,13:39:33,11305
2023-03-10,13:41:33,11782
2023-03-10,13:43:34,11782
2023-03-10,13:45:34,11337
2023-03-10,13:47:34,11337
2023-03-10,13:49:34,12043
2023-03-10,13:51:34,12043
2023-03-10,13:53:34,11407
2023-03-10,13:55:35,11407
2023-03-10,13:57:35,11270
2023-03-10,13:59:35,11270
2023-03-10,14:01:35,11673
2023-03-10,14:03:35,11673
2023-03-10,14:05:35,10766
2023-03-10,14:07:35,10766
2023-03-10,14:09:36,10229
2023-03-10,14:11:36,10229
2023-03-10,14:13:36,10777
2023-03-10,14:15:36,10777
2023-03-10,14:17:36,10777
2023-03-10,14:19:36,11070
2023-03-10,14:21:37,11070
2023-03-10,14:23:37,10992
