Date,Timestamp,Viewer Count
2023-05-02,22:30:59,1763
2023-05-02,22:33:00,1763
2023-05-02,22:35:00,1763
2023-05-02,22:37:00,4146
2023-05-02,22:39:01,4146
2023-05-02,22:41:01,5453
2023-05-02,22:43:01,5453
2023-05-02,22:45:01,6342
2023-05-02,22:47:02,6342
2023-05-02,22:49:02,7260
2023-05-02,22:51:02,7260
2023-05-02,22:53:02,7706
2023-05-02,22:55:03,7706
2023-05-02,22:57:03,7934
2023-05-02,22:59:03,8335
2023-05-02,23:01:03,8335
2023-05-02,23:03:04,9154
2023-05-02,23:05:04,9154
2023-05-02,23:07:04,8862
2023-05-02,23:09:04,9505
2023-05-02,23:11:05,9505
2023-05-02,23:13:05,10148
2023-05-02,23:15:05,9995
2023-05-02,23:17:05,9995
2023-05-02,23:19:06,10115
2023-05-02,23:21:06,10115
2023-05-02,23:23:06,10239
2023-05-02,23:25:07,10239
2023-05-02,23:27:07,10460
2023-05-02,23:29:07,10460
2023-05-02,23:31:07,10460
2023-05-02,23:33:08,10304
2023-05-02,23:35:08,10304
2023-05-02,23:37:09,10610
2023-05-02,23:39:09,10610
2023-05-02,23:41:10,10610
2023-05-02,23:43:10,10490
2023-05-02,23:45:11,10490
2023-05-02,23:47:11,10604
2023-05-02,23:49:11,10604
2023-05-02,23:51:11,10604
2023-05-02,23:53:12,10741
2023-05-02,23:55:12,10741
2023-05-02,23:57:12,10741
2023-05-02,23:59:13,11235
2023-05-03,00:01:13,11235
2023-05-03,00:03:13,10607
2023-05-03,00:05:13,10607
2023-05-03,00:07:14,10607
2023-05-03,00:09:14,10607
2023-05-03,00:11:14,10402
2023-05-03,00:13:15,10402
2023-05-03,00:15:15,11018
2023-05-03,00:17:15,11370
2023-05-03,00:19:15,11370
2023-05-03,00:21:16,11077
2023-05-03,00:23:16,11077
2023-05-03,00:25:16,11221
2023-05-03,00:27:16,11221
2023-05-03,00:29:17,11032
2023-05-03,00:31:17,11032
2023-05-03,00:33:17,11273
2023-05-03,00:35:17,11104
2023-05-03,00:37:18,11104
2023-05-03,00:39:18,11104
2023-05-03,00:41:18,11363
2023-05-03,00:43:19,11363
2023-05-03,00:45:19,11742
2023-05-03,00:47:19,11427
2023-05-03,00:49:19,11427
2023-05-03,00:51:19,11427
2023-05-03,00:53:20,11209
2023-05-03,00:55:20,11209
2023-05-03,00:57:20,11209
